buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
91,1545.0,236.0,701.0,608.0,0.0,443.0,261.0,109.0,815.0,429910.0,12.0,0.0,1.0,0.0
92,4416.0,545.0,2160.0,1711.0,0.0,1748.0,506.0,471.0,2744.0,195623.0,2.0,1.59,4.0,2.0
93,1825.0,267.0,939.0,619.0,0.0,930.0,138.0,0.0,1068.0,203649.0,0.0,2.19,0.0,7.0
94,3102.0,235.0,1207.0,1660.0,0.0,1138.0,493.0,476.0,2140.0,151035.0,3.0,2.58,9.0,18.0
95,4932.0,724.0,2694.0,1514.0,0.0,1024.0,486.0,1263.0,2775.0,146446.0,6.0,2.43,6.0,24.0
96,7754.0,1979.0,4768.0,1007.0,0.0,1029.0,356.0,2351.0,3738.0,113773.0,4.0,1.42,7.0,12.0
97,5254.0,1010.0,3209.0,1035.0,0.0,1262.0,617.0,407.0,2337.0,263741.0,1.0,0.19,0.0,4.0
98,10699.0,2843.0,6077.0,1779.0,0.0,1101.0,328.0,3261.0,4708.0,123024.0,5.0,1.31,7.0,15.0
99,1333.0,211.0,535.0,587.0,0.0,181.0,4.0,512.0,707.0,218898.0,0.0,0.75,0.0,6.0
100,5908.0,1391.0,3678.0,839.0,0.0,1201.0,151.0,1460.0,2833.0,162508.0,4.0,0.85,2.0,7.0
101,2105.0,453.0,1182.0,470.0,0.0,258.0,162.0,334.0,755.0,261309.0,0.0,1.9,0.0,18.0
102,8393.0,2889.0,4825.0,679.0,0.0,1517.0,380.0,936.0,2893.0,262401.0,3.0,0.95,5.0,5.0
103,3428.0,964.0,2113.0,351.0,0.0,1232.0,39.0,31.0,1305.0,326666.0,0.0,0.58,2.0,7.0
104,4271.0,1102.0,2626.0,543.0,0.0,883.0,34.0,687.0,1604.0,228307.0,0.0,0.7,0.0,0.0
105,3426.0,1058.0,2200.0,168.0,0.0,709.0,143.0,279.0,1131.0,255105.0,8.0,1.17,4.0,4.0
106,173.0,40.0,95.0,38.0,0.0,59.0,9.0,0.0,69.0,458016.0,1.0,0.0,0.0,5.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,2.0
