"Buurten";"Verhouding b.v.o. winkels/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. horeca/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. hotels/pensions/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. uitgaanvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. culturele voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. attracties/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. sportvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. recreatieve voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. medische voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. bijzondere voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. scholen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. kerken en gebedsruimte/ totale gebiedsoppervlakte|2010"
"26 Noordpolderbuurt";0,04;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,00;0,02;0,00
"30 Rustenburg";0,01;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00;0,01;0,00
"31 Oostbroek-Noord";0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,02
"32 Transvaalkwartier-Noord";0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,02;0,00
"33 Transvaalkwartier-Midden";0,05;0,01;0,00;0,00;0,00;0,00;0,03;0,01;0,02;0,00;0,02;0,01
"34 Transvaalkwartier-Zuid";0,03;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,03;0,00
"35 Oostbroek-Zuid";0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,00
"36 Zuiderpark";0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,00;0,00;0,00
"37 Moerwijk-West";0,03;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,03;0,00;0,02;0,00
"38 Moerwijk-Noord";0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,05;0,00
"39 Moerwijk-Zuid";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,04;0,01
"40 Nieuw Waldeck";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00
"41 Zorgvliet";0,00;0,00;0,03;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,02;0,00
"42 Stadhoudersplantsoen";0,03;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,03;0,01
"43 Sweelinckplein eo";0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,00
"44 Koningsplein eo";0,06;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"45 Zeeheldenkwartier";0,07;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,01;0,00;0,01;0,01
"46 Archipelbuurt";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,06;0,00;0,00
"47 Willemspark";0,03;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"48 Nassaubuurt";0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,03;0,00
"49 Haagse Bos";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"50 Bloemenbuurt-West";0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,05;0,01
"51 Bloemenbuurt-Oost";0,02;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,03;0,00
"52 Bomenbuurt";0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,06;0,00
"53 Vruchtenbuurt";0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,03;0,00;0,02;0,00
"54 Heesterbuurt";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01
"55 Valkenboskwartier";0,04;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01
"60 Binckhorst";0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"61 Landen";0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00;0,01;0,00
"62 Rivierenbuurt-Zuid";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"63 Rivierenbuurt-Noord";0,04;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"64 Bezuidenhout-West";0,01;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,07;0,00
"65 Bezuidenhout-Midden";0,03;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,01
"66 Bezuidenhout-Oost";0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,01;0,00
"67 Kampen";0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,01;0,01;0,00
"68 Marlot";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00
"69 Burgen en Horsten";0,01;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00;0,02;0,00
"70 Oostduinen";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"71 Belgisch Park";0,02;0,01;0,03;0,01;0,00;0,00;0,00;0,00;0,01;0,05;0,01;0,00
"72 Rijslag";0,00;0,00;0,01;0,00;0,00;0,00;0,03;0,00;0,01;0,00;0,04;0,00
"73 Westbroekpark";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00
"74 Duttendel";0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00
"75 Uilennest";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00
"76 Duinzigt";0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00
"77 Waalsdorp";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,03;0,00
"78 Arendsdorp";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"79 v Hoytemastraat eo";0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,01
"80 Morgenstond-Zuid";0,01;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,02;0,00;0,01;0,00
"81 Bosjes van Pex";0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,01;0,00;0,00;0,00;0,00
"82 Rosenburg";0,03;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,03;0,00;0,03;0,00
"83 Eykenduynen";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"84 Leyenburg";0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,08;0,00;0,01;0,00
"85 Kerketuinen/Zichtenburg";0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,02;0,00
"86 Houtwijk";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00
"87 Venen/Oorden/Raden";0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,03;0,00;0,01;0,00
"88 Morgenstond-West";0,04;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,06;0,00
"89 Morgenstond-Oost";0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01
"90 Ockenburgh";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00
"91 Kijkduin";0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"92 Bohemen/Meer en Bos";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,00;0,00;0,00
"93 Componistenbuurt";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01
"94 Waldeck-Noord";0,04;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,03;0,00
"95 Kom Loosduinen";0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,00;0,01;0,00
"96 Zijden/Steden/Zichten";0,01;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,01;0,00;0,01;0,00
"97 Kraayenstein & Vroondaal";0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00
"98 Dreven en Gaarden";0,01;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,02;0,00;0,01;0,00
"99 De Uithof";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
