"Buurten";"Aantal scholen voor VO totaal binnen 3 km|2006";"Aantal scholen voor VO totaal binnen 3 km|2007";"Aantal scholen voor VO totaal binnen 3 km|2008";"Aantal scholen voor VO totaal binnen 3 km|2009";"Aantal scholen voor VO totaal binnen 3 km|2010";"Aantal scholen voor VO totaal binnen 3 km|2011";"Aantal scholen voor VO totaal binnen 3 km|2012";"Aantal scholen voor VO totaal binnen 3 km|2013";"Aantal VMBO-scholen binnen 3 km|2006";"Aantal VMBO-scholen binnen 3 km|2007";"Aantal VMBO-scholen binnen 3 km|2008";"Aantal VMBO-scholen binnen 3 km|2009";"Aantal VMBO-scholen binnen 3 km|2010";"Aantal VMBO-scholen binnen 3 km|2011";"Aantal VMBO-scholen binnen 3 km|2012";"Aantal VMBO-scholen binnen 3 km|2013";"Aantal HAVO/VWO-scholen binnen 3 km|2006";"Aantal HAVO/VWO-scholen binnen 3 km|2007";"Aantal HAVO/VWO-scholen binnen 3 km|2008";"Aantal HAVO/VWO-scholen binnen 3 km|2009";"Aantal HAVO/VWO-scholen binnen 3 km|2010";"Aantal HAVO/VWO-scholen binnen 3 km|2011";"Aantal HAVO/VWO-scholen binnen 3 km|2012";"Aantal HAVO/VWO-scholen binnen 3 km|2013";"Aantal scholen binnen 3 km|2006";"Aantal scholen binnen 3 km|2007";"Aantal scholen binnen 3 km|2008";"Aantal scholen binnen 3 km|2009";"Aantal scholen binnen 3 km|2010";"Aantal scholen binnen 3 km|2011";"Aantal scholen binnen 3 km|2012";"Aantal scholen binnen 3 km|2013"
"107 Vliegeniersbuurt";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"108 Bosweide";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;8;9;9;9;9;"-"
"109 Tedingerbroek";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"110 De Reef";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"111 De Venen";"-";"-";"-";"-";2;2;2;2;"-";"-";"-";"-";2;2;2;2;"-";"-";"-";"-";2;2;2;1;"-";"-";"-";"-";13;12;11;"-"
"112 Morgenweide";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;12;12;11;12;12;12;13;"-"
"113 Singels";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10;11;10;10;10;10;10;"-"
"114 Waterbuurt";2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;12;12;12;12;12;12;12;"-"
"115 De Bras";2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;14;14;13;13;13;13;13;"-"
"116 Vlietzoom-Oost";6;6;7;7;7;7;6;6;6;6;7;7;6;6;5;5;3;3;4;4;4;4;4;3;15;15;15;15;15;15;14;"-"
"117 De Rivieren";2;1;2;3;3;3;3;4;2;1;2;3;3;3;3;4;2;1;2;2;2;2;2;1;12;12;11;13;13;12;12;"-"
"118 De Lanen";2;1;2;2;2;2;2;4;2;1;2;2;2;2;2;4;2;1;2;2;2;2;2;2;8;11;9;11;12;12;12;"-"
"119 De Velden";2;0;1;"-";"-";"-";2;1;2;0;1;"-";"-";"-";2;1;2;0;1;"-";"-";"-";1;0;11;11;11;"-";"-";"-";10;"-"
"120 De Vissen";1;0;1;"-";"-";"-";1;1;1;0;1;"-";"-";"-";1;1;1;0;1;"-";"-";"-";1;0;6;7;7;"-";"-";"-";7;"-"
"121 Rietbuurt";2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;10;11;11;11;11;10;10;"-"
